frame,timestamp_ms,left_ear_visibility,right_ear_visibility,center_x,center_y,radius,out_of_reference
207,3450,0.9944,0.9914,151,140,20,0
208,3466,0.9938,0.9898,151,140,20,0
209,3483,0.9932,0.9882,151,140,20,0
210,3500,0.9928,0.9875,150,140,20,0
211,3516,0.9924,0.9867,150,140,20,0
212,3533,0.9922,0.9866,150,140,20,0
213,3550,0.9918,0.9857,150,140,20,0
214,3566,0.9919,0.986,150,140,20,0
215,3583,0.9913,0.9849,150,140,20,0
216,3600,0.9903,0.9827,150,141,20,0
217,3616,0.9904,0.9829,150,141,20,0
218,3633,0.9905,0.9831,150,141,20,0
219,3650,0.9905,0.9832,150,141,20,0
220,3666,0.9908,0.9835,150,141,20,0
221,3683,0.991,0.9838,150,141,20,0
222,3700,0.9908,0.9831,150,141,20,0
223,3716,0.9903,0.9824,150,141,20,0
224,3733,0.9901,0.9815,150,141,20,0
225,3750,0.99,0.981,150,141,20,0
226,3766,0.9899,0.9806,150,141,20,0
227,3783,0.9902,0.9811,150,141,20,0
228,3800,0.9899,0.9804,150,141,20,0
229,3816,0.9902,0.9806,150,141,20,0
230,3833,0.9905,0.981,150,141,20,0
231,3850,0.9905,0.9809,149,141,20,0
232,3866,0.9906,0.9813,149,141,20,0
233,3883,0.9905,0.981,149,141,20,0
234,3900,0.9904,0.9808,149,140,20,0
235,3916,0.9904,0.9811,149,140,20,0
236,3933,0.9903,0.9812,149,140,20,0
237,3950,0.9906,0.9818,149,140,20,0
238,3966,0.991,0.9826,149,140,20,0
239,3983,0.9912,0.9831,149,140,20,0
240,4000,0.9914,0.9834,149,140,20,0
241,4016,0.9916,0.9837,149,140,20,0
242,4033,0.9918,0.984,148,140,20,0
243,4050,0.992,0.9845,148,140,20,0
244,4066,0.9923,0.985,148,140,20,0
245,4083,0.9927,0.9856,148,140,20,0
246,4100,0.9931,0.9864,148,140,20,0
247,4116,0.9934,0.9872,148,140,20,0
248,4133,0.9934,0.9873,148,140,20,0
249,4150,0.9937,0.9879,148,140,20,0
250,4166,0.9938,0.9883,148,140,20,0
251,4183,0.9937,0.9885,148,140,20,0
252,4200,0.9936,0.9887,148,140,20,0
253,4216,0.9936,0.9891,148,140,20,0
254,4233,0.9938,0.9897,149,141,20,0
255,4250,0.9941,0.9902,149,141,20,0
256,4266,0.9941,0.9905,149,141,20,0
257,4283,0.9937,0.9901,149,141,20,0
258,4300,0.9932,0.9896,149,141,20,0
259,4316,0.9931,0.9895,149,141,20,0
260,4333,0.993,0.9896,149,141,20,0
261,4350,0.9928,0.9895,149,141,20,0
262,4366,0.9929,0.9898,149,141,20,0
263,4383,0.9932,0.9903,149,141,20,0
264,4400,0.9933,0.9907,149,141,20,0
265,4416,0.9933,0.991,149,141,20,0
266,4433,0.9936,0.9916,149,141,20,0
267,4450,0.9939,0.9921,149,141,20,0
268,4466,0.9943,0.9927,149,141,20,0
269,4483,0.9947,0.9933,149,141,20,0
270,4500,0.995,0.9938,149,141,20,0
271,4516,0.9954,0.9943,149,141,20,0
272,4533,0.9957,0.9947,149,141,20,0
273,4550,0.996,0.9952,148,141,20,0
274,4566,0.9962,0.9955,148,141,20,0
275,4583,0.9963,0.9958,148,141,20,0
276,4600,0.9965,0.9961,148,141,20,0
277,4616,0.9966,0.9963,148,141,20,0
278,4633,0.9968,0.9965,148,140,20,0
279,4650,0.9969,0.9968,148,140,20,0
280,4666,0.9971,0.997,148,140,20,0
281,4683,0.9972,0.9972,147,140,20,0
282,4700,0.9973,0.9974,147,140,20,0
283,4716,0.9973,0.9974,147,140,20,0
284,4733,0.9973,0.9975,147,140,20,0
285,4750,0.9973,0.9976,147,140,20,0
286,4766,0.9974,0.9977,147,140,20,0
287,4783,0.9975,0.9979,147,140,20,0
288,4800,0.9976,0.998,148,140,20,0
289,4816,0.9977,0.9981,148,140,20,0
290,4833,0.9978,0.9982,148,140,20,0
291,4850,0.9979,0.9983,148,140,20,0
292,4866,0.998,0.9984,148,140,20,0
293,4883,0.998,0.9985,148,140,20,0
294,4900,0.998,0.9984,148,140,20,0
295,4916,0.9979,0.9983,148,140,20,0
296,4933,0.9979,0.9983,148,140,20,0
297,4950,0.9978,0.9982,148,140,20,0
298,4966,0.9977,0.9981,147,140,20,0
299,4983,0.9976,0.998,147,140,20,0
300,5000,0.9976,0.998,147,140,20,0
301,5016,0.9977,0.9981,147,140,20,0
302,5033,0.9978,0.9981,147,140,20,0
303,5050,0.9979,0.9982,147,140,20,0
304,5066,0.9979,0.9982,147,140,20,0
305,5083,0.998,0.9982,147,140,20,0
306,5100,0.998,0.9981,146,140,20,0
307,5116,0.998,0.9981,146,140,20,0
308,5133,0.9981,0.9982,146,140,20,0
309,5150,0.9981,0.9981,146,140,20,0
310,5166,0.9982,0.9982,145,140,20,0
311,5183,0.9983,0.9982,145,140,20,0
312,5200,0.9983,0.9982,145,139,20,0
313,5216,0.9984,0.9983,145,139,20,0
314,5233,0.9984,0.9983,145,139,20,0
315,5250,0.9985,0.9984,145,139,20,0
316,5266,0.9985,0.9984,145,138,20,0
317,5283,0.9985,0.9984,144,138,20,0
318,5300,0.9986,0.9984,144,138,20,0
319,5316,0.9986,0.9984,144,138,20,0
320,5333,0.9986,0.9985,144,138,20,0
321,5350,0.9987,0.9985,144,138,20,0
322,5366,0.9987,0.9985,144,138,20,0
323,5383,0.9987,0.9985,144,138,20,0
324,5400,0.9987,0.9985,143,138,20,0
325,5416,0.9987,0.9985,143,138,20,0
326,5433,0.9987,0.9985,143,138,20,0
327,5450,0.9987,0.9985,143,138,20,0
328,5466,0.9987,0.9985,143,137,20,0
329,5483,0.9987,0.9985,143,137,20,0
330,5500,0.9988,0.9985,143,137,20,0
331,5516,0.9988,0.9985,142,137,20,0
332,5533,0.9988,0.9985,142,137,20,0
333,5550,0.9988,0.9985,142,137,20,0
334,5566,0.9988,0.9985,141,136,20,0
335,5583,0.9988,0.9985,141,136,20,0
336,5600,0.9988,0.9985,141,136,20,0
337,5616,0.9988,0.9984,141,136,20,0
338,5633,0.9988,0.9985,141,136,20,0
339,5650,0.9988,0.9985,141,136,20,0
340,5666,0.9989,0.9985,140,136,20,0
341,5683,0.9989,0.9985,141,136,20,0
342,5700,0.9988,0.9984,141,135,20,0
343,5716,0.9988,0.9984,141,136,20,0
344,5733,0.9988,0.9984,141,136,20,0
345,5750,0.9988,0.9984,141,136,20,0
346,5766,0.9988,0.9983,141,136,20,0
347,5783,0.9988,0.9983,141,136,20,0
348,5800,0.9988,0.9983,141,136,20,0
349,5816,0.9988,0.9982,141,136,20,0
350,5833,0.9988,0.9982,141,136,20,0
351,5850,0.9988,0.9982,141,136,20,0
352,5866,0.9988,0.9981,141,136,20,0
353,5883,0.9987,0.9981,141,136,20,0
354,5900,0.9987,0.998,141,136,20,0
355,5916,0.9986,0.9979,141,136,20,0
356,5933,0.9986,0.9979,141,136,20,0
357,5950,0.9985,0.9977,141,136,20,0
358,5966,0.9985,0.9977,141,136,20,0
359,5983,0.9984,0.9976,141,136,20,0
360,6000,0.9984,0.9976,141,136,20,0
361,6016,0.9984,0.9976,142,136,20,0
362,6033,0.9984,0.9976,142,137,20,0
363,6050,0.9983,0.9974,142,137,20,0
364,6066,0.9984,0.9975,142,137,20,0
365,6083,0.9983,0.9974,142,137,20,0
366,6100,0.9983,0.9973,141,137,20,0
367,6116,0.9982,0.9971,142,137,20,0
368,6133,0.9982,0.9971,141,137,20,0
369,6150,0.9982,0.997,141,137,20,0
370,6166,0.9982,0.997,141,137,20,0
371,6183,0.9982,0.9968,141,137,20,0
372,6200,0.9982,0.9967,141,137,20,0
373,6216,0.9982,0.9967,141,137,20,0
374,6233,0.9982,0.9966,141,137,20,0
375,6250,0.9982,0.9966,142,137,20,0
376,6266,0.9982,0.9967,142,137,20,0
377,6283,0.9983,0.9968,142,137,20,0
378,6300,0.9983,0.997,143,137,20,0
379,6316,0.9984,0.9972,143,137,20,0
380,6333,0.9985,0.9973,144,137,20,0
381,6350,0.9985,0.9974,144,137,20,0
382,6366,0.9985,0.9975,145,137,20,0
383,6383,0.9986,0.9975,146,137,20,0
384,6400,0.9985,0.9975,146,137,20,0
385,6416,0.9985,0.9976,147,137,20,0
386,6433,0.9985,0.9976,148,137,20,0
387,6450,0.9985,0.9976,148,137,20,0
388,6466,0.9985,0.9977,149,137,20,0
389,6483,0.9985,0.9976,149,137,20,0
390,6500,0.9984,0.9975,149,137,20,0
391,6516,0.9984,0.9976,150,137,20,0
392,6533,0.9984,0.9977,150,137,20,0
393,6550,0.9984,0.9977,151,137,20,0
394,6566,0.9983,0.9977,151,138,20,0
395,6583,0.9984,0.9977,152,138,20,0
396,6600,0.9984,0.9978,153,139,20,0
397,6616,0.9984,0.9979,154,139,20,0
398,6633,0.9984,0.9979,155,139,20,0
399,6650,0.9984,0.998,155,139,20,0
400,6666,0.9985,0.9981,155,140,20,0
401,6683,0.9986,0.9981,156,140,20,0
402,6700,0.9986,0.9982,156,140,20,0
403,6716,0.9986,0.9982,157,140,20,0
404,6733,0.9987,0.9983,157,140,20,0
405,6750,0.9987,0.9983,157,140,20,0
406,6766,0.9987,0.9984,157,140,20,0
407,6783,0.9988,0.9984,157,140,20,0
408,6800,0.9988,0.9984,157,140,20,0
409,6816,0.9989,0.9986,157,140,20,0
410,6833,0.9989,0.9986,157,140,20,0
411,6850,0.9989,0.9987,157,140,20,0
412,6866,0.999,0.9988,157,140,20,0
413,6883,0.9991,0.9988,157,140,20,0
414,6900,0.9991,0.9989,157,140,20,0
415,6916,0.9992,0.9989,157,140,20,0
416,6933,0.9991,0.9989,157,140,20,0
417,6950,0.999,0.9987,156,140,20,0
418,6966,0.999,0.9987,156,140,20,0
419,6983,0.9987,0.9984,156,140,20,0
420,7000,0.9987,0.9983,157,140,20,0
421,7016,0.9985,0.9981,157,140,20,0
422,7033,0.9983,0.9979,157,140,20,0
423,7050,0.9981,0.9975,157,139,20,0
424,7066,0.9979,0.9973,157,139,20,0
425,7083,0.9976,0.9967,157,139,20,0
426,7100,0.9974,0.9962,157,139,20,0
427,7116,0.9973,0.9956,157,139,20,0
428,7133,0.9972,0.9952,157,139,20,0
429,7150,0.9971,0.9948,157,139,20,0
430,7166,0.9971,0.9944,157,139,20,0
431,7183,0.9965,0.9928,157,139,20,0
432,7200,0.9963,0.9919,157,139,20,0
433,7216,0.9957,0.9904,157,139,20,0
434,7233,0.9951,0.989,157,139,20,0
435,7250,0.995,0.9885,158,139,20,0
436,7266,0.995,0.9884,158,138,20,0
437,7283,0.9952,0.9887,158,138,20,0
438,7300,0.9954,0.9891,158,138,20,0
439,7316,0.9957,0.9898,157,138,20,0
440,7333,0.996,0.9901,157,138,20,0
441,7350,0.9962,0.9905,157,138,20,0
442,7366,0.9963,0.9907,157,138,20,0
443,7383,0.9964,0.9908,156,138,20,0
444,7400,0.9966,0.9913,156,138,20,0
445,7416,0.9967,0.9912,156,139,20,0
446,7433,0.9967,0.9908,156,139,20,0
447,7450,0.9967,0.9904,155,139,20,0
448,7466,0.9966,0.9899,155,139,20,0
449,7483,0.9965,0.9889,155,140,20,0
450,7500,0.9963,0.9877,155,140,20,0
451,7516,0.9957,0.9851,154,140,20,0
452,7533,0.9957,0.9851,153,140,20,0
453,7550,0.9942,0.9801,153,141,20,0
454,7566,0.9943,0.9801,152,141,20,0
455,7583,0.9937,0.9776,152,141,20,0
456,7600,0.994,0.9781,152,141,20,0
457,7616,0.9934,0.9755,151,142,20,0
458,7633,0.9931,0.9746,151,142,20,0
459,7650,0.9925,0.9729,151,143,20,0
460,7666,0.9915,0.97,151,143,20,0
461,7683,0.991,0.9696,150,143,20,0
462,7700,0.9904,0.9686,150,143,20,0
463,7716,0.9906,0.97,150,143,20,0
464,7733,0.9907,0.9711,150,143,20,0
465,7750,0.9914,0.9735,149,144,20,0
466,7766,0.9917,0.9752,149,144,20,0
467,7783,0.9922,0.9768,148,144,20,0
